公司,工作地區,職稱,start_time,end_time,最高學歷,一週工時,待遇,是否推薦此工作,內容
盟創科技股份有限公司,新竹市,UIUX設計師,2002-01-21,2004-01-21,碩士,45,"50,000 / 月",推,"【實際工作內容】
穩定的工作，公司每個部門差異很大，有些部門常加班，有些不常加班。有賺會分紅。整體來說，很像公務體系，穩定上下班。升遷機會不大，跳槽再跳回來比較有機會。

在這裡比較像是螺絲釘，做創意創新機會少，福利竹科基本。是個養身體好地方。但也不用期待大起飛。

風氣溫和，強調大家庭，適合新人。"
?社企股份有限公司,新竹市,設計,2002-01-21,2004-01-21,大學,45,"32,000 / 月",不推,"【老闆自我意識太強】
利用員工人脈"
心情故事攝影社,高雄市,攝影助理,1900-01-20,1902-01-19,高職,12,"17,000 / 月",不推,"【實際工作情況和待遇】
把攝影助理完全當打雜小弟一樣，該做的事情不做卻一直被叫去做別部門的工作，分部門根本有分跟沒分，工時長超過還不算加班費，低薪還不到基本薪資，照片多挑抽成少到極點，助理抽1.5%就算了攝影師才抽6%完全把專業搞的一文不值"
台灣武藤科技股份有限公司,彰化縣,作業員,2001-01-21,2003-01-21,大學,40,"30,000 / 月",推,
飛捷科技股份有限公司,臺北市,PDM,1900-01-20,1902-01-19,,,,推,
尚揚峰互聯有限公司,臺北市,網頁美編,2001-01-21,2003-01-21,大學,40,,不推,
聯發科,新竹市,工程師,1900-01-20,1902-01-19,碩士,50,"76,000 / 月",推,
台灣之星,臺北市,行銷管理師,2003-01-21,2005-01-20,碩士,,,不推,
江華全球,新北市,國外業務人員,1900-01-20,1902-01-19,,,,推,
全家便利商店,臺中市,門市人員,2003-01-21,2005-01-20,大學,,,推,
人因科技股份有限公司,新北市,客服專員,2010-01-21,2012-01-21,大學,38,"26,000 / 月",不推,
力澂股份有限公司,臺北市,限收股發信人員,1900-01-20,1902-01-19,二專,20,140 / 小時,不推,"【薪資福利】
前兩週一天做3.5小時，但只給3小時時薪，且未於就職前告知。
就職前會說實習前三日不給薪，僅給實習車馬費一天200，並要做滿三個月才能領。"
矽品精密工業股份有限公司,彰化縣,生產設備工程師,2005-01-21,2007-01-21,大學,45,"37,000 / 月",,"【實際概況】
進來做五年左右調薪無感

【實際工作內容】
設備保養、改機換模、異常調查、部品修換………力力扣扣要承包的事太多啦

【薪資福利】
底薪+伙食津貼+夜點費
年薪保14

【升遷制度】
設備28升29很難  有卡比例

【工時狀況】
07：00～19：00 四個月輪一次班 
交接完即可下班"
華碩電腦,臺北市,產品經理,2006-01-21,2008-01-21,碩士,50,"80,000 / 月",推,"【華碩工作心得】
適合剛畢業的年輕人練功，跳槽的話通常薪水給的比市場行情低"
紅豆杉科技股份有限公司,新北市,維修工程師,1900-01-20,1902-01-19,,45,"26,000 / 月",不推,"【維修工程師實際工作內容】
加班沒有加班費,工作內容維修打包機,維修點鈔機,隔周休二日"
69889201,新北市,店長,2003-01-21,2005-01-20,二專,40,"60,000 / 月",,"【店務處理】
店務、人事、現場營運"
金博克通訊有限公司,桃園市,行政,1900-01-20,1902-01-19,,40,"31,000 / 月",推,"【處理文件】
處理文件"
59311281,高雄市,管理部協理,1900-01-20,1902-01-19,大學,58,"31,000 / 月",不推,"【負責人事,財務,公關,廠商管理,交辦事項翻譯.】
違法事項->沒有即時加保勞/健保及不給勞退,需自己爭取.無由被解職,無詳細原因,無資譴書.積欠員工及廠商薪水/款項."
33學堂,臺北市,門市人員,1900-01-20,1902-01-19,大學,40,106 / 小時,推,"【實際工作內容】
收銀櫃檯、商品上下架"
臺北市旅遊服務中心,臺北市,站長,2002-01-21,2004-01-21,大學,40,"33,000 / 月",推,"【實際工作內容】
提供全台灣的旅遊諮詢服務，負責規劃遊程，以及景點的介紹。這份工作必定會時常接觸旅客，語言能力相對重要，至少英文也要能溝通的程度。每天面對大量的旅客，問的問題經常重複，所以如較缺乏耐心的人，會容易感到職業倦怠。除了應對旅客外，每天還要處理文書作業，做的事情很固定。簡單說，對旅遊服務沒有熱忱的話，做起來會相當痛苦。

【工時狀況】
每天上班時間很固定，早上10點至晚上7點，休息1小時可以自由安排沒有規定。平常沒有旅客的時候還可以做自己的事情，相對輕鬆。但公司經常利用員工休假或上班時，透過LINE與員工協調事務，不處理又不行。

【薪資福利】
站長基本底薪31K，伙食津貼2.4K，另部分站點有賣紀念品可抽成10%，採每季發放。

績效獎金針對來客人數、文宣量、請假次數、客訴次數來做評比，依考核分數不同給予不同%數的獎金，最少為0.8個月薪，採半年一次發放。

每個月會有一次站長會議，可至公司安排的餐廳免費聚餐。

一般的正職這裡稱為站員，除了基本底薪26K，其他福利與站長相同，做的事情也差不多，能輔佐站長當然是最好，但至少不要當大雷包。

其他獎金：提供生日禮金1500，沒有年終獎金，也沒有三節獎金。

公司配合的銀行是台灣企銀，沒有免費跨行轉帳手續費的優惠，每月10日發薪。

【公司管理方式】
雖然此單位為臺北市政府所設立，但實際徵才單位已外包給人才招募公司，也就是說我們是派遣人員，不是公務員也不是約僱人員。每個月底市府人員都會至站上考核，問最近的旅遊資訊，那時候大家就會很緊張，因為有的時候會問很冷門或很難的，就會覺得很煩。同時，公司的人至少一個禮拜一次到站上看看，叮嚀我們的服務態度等等。

【公司 / 團隊文化】
基本上不論站長或站員都很年輕，大部份都剛畢業或畢業不久而已，有些工讀還是大學生。上班時同事間都會互相罩彼此，不用太擔心遇到自己無法處理的事情。大家感情也都很好，常常下班一起吃飯，上班也都可以聊天，尤其是一起罵市府和公司的時候XDD

【其他補充與總結】
目前站點皆設置在捷運站內，交通十分方便。這份工作相對輕鬆，但基本的要求還是必須做到。排除每個月的考核、沒有年終獎金外，覺得算是份有趣且CP值高的工作。"
音樂教室,屏東縣,音樂老師,2005-01-21,2007-01-21,大學,7,350 / 小時,推,"【實際工作內容】
教師的時間算是蠻彈性的，平日上課時間大部分都是晚上，所以白天有很多時間都可以自己利用。"
數位點子多媒體股份有限公司,臺北市,專員,2003-01-21,2005-01-20,大學,38,"35,000 / 月",,"【福利制度】
地點交通較不便利，有員工餐廳，用餐便宜，公司也有補助餐費，制度也完善，
基本的三節獎金，員工旅遊等福利都有，
午休1.5小時，每日上班時間其實只有7.5小時，可以準時下班，不會強制加班．

【升遷制度】
每年會依考核有機會調薪，但調薪跟升遷制度並不透明，升遷機率小，想要平穩的工作可以推薦，
但如果想要有較多的學習機會，想往前衝，建議就不要在這裡浪費時間了．"
屏東科技大學,屏東縣,計畫助理,2004-01-21,2006-01-20,大學,8,"33,000 / 月",推,"【實際工作內容】
主要協助計畫執行，讓所有計畫都能達標。比較麻煩的是要不停地開會，就算會議內容與你無關也是要去聽，有時候事情做不完但還要去開會就會令人覺得煩躁，但整體來說是個適合養老的好地方。

【薪資福利】
在屏東來說，這裡的薪資已經算中上等級，薪資依國科會標準給薪，年終1.5個月，每年固定調薪。"
三英鋼鐵股份有限公司,高雄市,大貨車及其他類司機,2008-01-21,2010-01-20,高職,50,"42,000 / 月",不推,"【實際工作內容：】
司機需輪流開35噸拖車，拖車每日約下午四點左右回到公司內等侯疊貨，常常疊好貨後都是六點半左右，公司又不給加班費，並規定隔天送外地的貨(台南以北)需當日完成疊貨。
如當天無使用拖車時需換開17噸貨車在台南以南地區送貨。

【工時狀況】
35噸拖車工作時數約10小時上下，17噸貨車在8.5左右"
銓鴻有限公司,臺中市,技術人員,2004-01-21,2006-01-20,大學,40,"390,000 / 年",不推,"【基本上不會照勞基法】
基本上不會照勞基法，尤其特休，印象中第一年給2天，第二年給3天，無三節獎金，六日排休輪放無加班費，工作環境酸氣王水，防護設備差，還要簽訂私自擬定的合約做為保證不照勞基法的同意書。私自排放廢水，並且使用大量違法藥劑"
漢育工業有限公司,彰化縣,辦公室人員,2004-01-21,2006-01-20,大學,,"25,000 / 月",不推,"【兩年前還不錯，現在走下坡中】
加班責任制，年終0，三節獎金0，休假看小老闆心情，訂單多就調辦公室去做生產，訂單少就放無薪假，再少就直接砍人，育嬰假後直接從鹿港的職位調到台中，讓人自己離職省資遣費，(小)老闆剛愎自用，是一定不為員工著想的公司，除了上述缺點外，107年起已經走快一半的人了，公司營運已經走下坡了，奉勸進來要三思

By準離職員工 107.3.7"
華郁旅行社有限公司(高雄分公司),高雄市,英文專員,1900-01-20,1902-01-19,大學,45,"24,000 / 月",不推,"【實際工作內容】
優點
1. 年假7天都沒請假者，加發14天薪水，自行向會計申請，未申報者以棄權論。

2. 每月未遲到、請假者，加發全勤獎金 $2000。試用期滿，月薪再加 $3000。

3. 附近有美食街可以購買午餐。

4. 除了宗教狂人A主管以外，其他同事人都滿好的，都很熱情、願意幫忙。

5. 訂購船員機票，類似OP的工作，每人會分到一條線，學會amadeus後可以獨立作業，適合喜歡自己做事情的人。

6. 老闆 (公司內部稱李小姐) 是美魔女，這算嗎？還有只在員工規章裡面看到的洪經理？

缺點
1. 客戶為船員、船公司的旅行社。

2. 請假規定：前3個月試用期，不能請假。連續假期前後，不得請假，連續休假最多不能超過9天 (含例假日)。不論年資，年假最長7天。產假可請36日(包含例假日)。遇颱風警報，是否放假，由公司決定，原則上班。

3. 客戶/船員/代理商資訊尚未電子化，英文姓名和護照號碼都要手寫在紙本上，衍生出更多瑣碎雜務，如：計算每月上船的船員國籍、整理資料夾等。

4. 遲到規定：每月遲到超過10次者扣薪$1000，提撥為員工福利金。遲到半小時後，以請半天論。

5. 票務人員因個人作業疏忽 開錯票/打錯機票名字，$3000內的費用由公司負擔，一年限三次，第四次起全額費用由票務人員負擔，機票多+加班到晚上九點會很剉。

6. 不實施周休二日，一個月要輪兩次週六值班 08:30-12:00，沒什麼事情要做...新人未滿一個月者，第一個月的四個周六都要來上班。

7. 非公事使用公司電腦上網，須經主管同意，否則即刻「離職」懲處。

8. 沒有加班費，只有誤餐費$200，有吃過買麵線、起司蛋餅。手機24小時 on call

9. 午休不會關燈，電話會一直進來，無法好好休息。還要輪值接電話，接起來說「該人員目前外出吃飯，請13:30之後再打過來。」為什麼不用電話語音？如果怕有緊急事件，也可以教育客戶直接撥負責人手機啊…

10. 外籍組有兩位OP女主管，其中A主管山東大嗓門，若下屬做錯事，會被罵得眾人皆知。常常叫資淺的同事幫他買午餐回公司，變成大家都坐在自己的位子上吃飯。同時也是普X精舍狂人，積極邀約下屬參加禪修，聽說不賞臉的會被刁難。

11. 流動率高，去不到3個月，已有2位離職，又進來2位新人。

12. 雖然有一位總機小姐，但不能響超過三聲，客戶沒有養成撥打專責人員分機的習慣，變成每個人都是總機，對護照姓名常常被打斷。

13. 老闆娘感覺是很節省的人，聽過她驕傲地說「從來都沒有花錢買過手機」，公司電腦也是用合作廠商的，即使員工抱怨電腦速度慢、常當機，還是堅持不換新，能省則省，覺得叫外務定期刪信就可以解決。"
伸長彩色印刷股份有限公司,高雄市,業務助理,1900-01-20,1902-01-19,大學,48,"28,000 / 月",不推,"【實際工作內容】
是否有要履歷：邀約面試時沒說，對方已經印好履歷
是否填寫公司內部履歷表：NO

優點
1. 起薪高。

2. 加班費：業務助理可以填寫加班單 (起訖時間、處理事項)，業務人員沒有加班費。

3. 年終：一個月，未滿一年按比例提撥。

4. 過年：每人兩種禮盒，包裝外盒公司自己印，餅乾和水果是跟客戶買的，會請有空閒的人(通常是業助)協助分裝、組合。

5. 用餐：公司附近比較少小吃店，總務會問你「要不要訂便當？」，每天大約$50 (一主菜，三配菜，塑膠袋裝的湯)，價格滿優惠的，輪流訂三家便當店，菜色比較容易膩，可以自己騎車出外吃。

6. 午休時間 12:00-13:30，除了一樓辦公室，二樓和現場會熄燈休息。業助大部分 18:00 下班，業務大概 19:00 下班。

7. 一樓整體裝潢都很新，尤其是茶水間和廁所(還有輕音樂)。二樓整個就...老舊，緊鄰倉庫，空氣中瀰漫瓦楞紙版的味道。

一樓配置：（前面）會計、業務助理、生管、總務、老闆娘、老闆、協理、神壇；（中間）資管、資深業務、茶水間、廁所；（後面）師傅（裁紙、印刷、軋型、上膜）及操作員、品檢、包裝、出貨

二樓配置：（前面）美工；（中間）工程、資淺&國外業務、員工用餐區；（後面）倉庫

缺點
1. 家族企業：大概5位皇親國戚，若A男資管心情不好，老闆也叫不動，嚴重時會影響工作效率（報價需要用到 Excel）。B女客戶，是老闆的弟媳，目前為寡婦、兒女在美國創業，把公司當私人設計部門，反覆要求免費打樣、修改、寄樣品，可怕的輪迴要至少3次才能確定完稿...

2. 薪資明細：每3個月才會拿到一次，只給3, 6, 9, 12當月的明細，沒有1, 2, 4, 5, 7, 8, 10, 11月的明細。

3. 獎金制度：新進業務負責開發，資深業務負責維護，新進業務沒有獎金，「一直還在跟老闆討論中...」，不清楚資深業務是否有獎金。

4. 中午輪值：業務助理，每個月1-2次，12:20-13:00，接起來說「現在是午休時間，請您13:30後再打來」...沒有哺乳室。

5. 教育訓練：給你一本A4大概30頁的秘笈自己讀，內容有：印刷知識、估價報價，若生管有空，會帶你進生產線參觀。

6. 現場製程：就算有附簽樣給印刷師傅，業務還是要在旁邊盯著，以防出包。工廠24小時不休息，業務會7點先回家，晚上12點再來公司盯著印刷師傅。


7. 產線效率可能有問題，常常因跳車、手工步驟太多，導致交期往後延，久而久之，業務跟客戶押的交期都比廠內至少晚三天至一個禮拜，若趕交貨，業助和資淺業務會被抓去產線幫忙糊盒等手工...

8. 老闆主推邏輯光紋，不做手工精裝盒 (威士忌禮盒那種硬紙盒)，客戶多為食品、保養品、保健品廠商。只接受弟媳兒女介紹的國外客戶，國外業務推展困難。
"
85度C,南投縣,員工,1900-01-20,1902-01-19,高職,45,"24,000 / 月",推,"【工作內容】
需要背很多東西"
亞仕資訊股份有限公司,臺北市,程式設計師,2004-01-21,2006-01-20,大學,40,"33,000 / 月",推,"【負責售後服務程式碼撰寫。】
銷售產品後所需要產生報表。"
可成科技股份有限公司,臺南市,CNC機台操作人員,2001-01-21,2003-01-21,國中,48,"30,000 / 月",不推,"【實際工作壓力非常大】
每天強制性加班，除非家裡有急事
不然只要不加班就是你的錯，
考績也會因此而被打的不好。"
豐盛號,臺北市,PT工讀生,1900-01-20,1902-01-19,大學,,126 / 小時,,"【實際工作內容】
可以選擇內外場排班彈性"
綠杏生物科技有限公司,新北市,國內業務人員,2007-01-21,2009-01-20,碩士,,"35,000 / 月",不推,"【玩業務玩很深的一家公司】
做過業務的人都知道，被公司玩是剛好，幸運的遇到一個好老闆，這是可遇不可求的事情，在這裡，你遇到的不是一個好主管、好老闆，而且還超會玩業務的。
副總跟總經理，一個是黑臉，一個是白臉，當你被副總玩了之後，跑去跟總經理抱怨，總經理會把你乾喬的內容告訴副總，然後副總會繼續的玩你，擋貨、調業績、改制度，怎樣都可以玩死你！
你別以為他玩死你之外，其他的業務也會跟著死，抱歉，其他人有特權豁免，所以，他們會感恩，會充滿奴性，然後領走滿滿的業務獎金。
所以業務群裡，就區分成了寵幸與被寵幸兩群，而這兩群其實也只是2個人跟4個人而已，你以為是20個VS40個嗎？
這是一間小公司，玩業務就玩成這樣，你認為公司會茁壯？充滿希望與未來？跟著老闆飛黃騰達？
我不這樣想唷～"
杏一,宜蘭縣,門市人員,1900-01-20,1902-01-19,五專,40,"25,000 / 月",推,"【很好的工作】
符合勞基法"
南山人壽保險股份有限公司,臺北市,專員,2002-01-21,2004-01-21,碩士,50,"45,000 / 月",推,"【同事不錯】
同事好相處，常常要做一些報告，報告治標不治本，對實際公司沒幫助，但整理來說還算不錯"
雄獅旅行社,臺北市,會議獎勵旅遊部門業務專員,1900-01-20,1902-01-19,大學,50,"33,000 / 月",不推,"【實際工作內容】
規劃企業員工旅遊

【工時狀況】
每天加班準時走被關切，只能利用假日製作簡報，還常常需凌晨起來送機，接機到半夜，無任何加班費補休"
九井廣告股份有限公司,臺北市,網頁設計師,2002-01-21,2004-01-21,碩士,90,"36,000 / 月",不推,"【非常不推薦】
優點
保全真的很認真地維護環境

缺點
工時的部分：

設計部門工時非常的長，可能從今天九點到隔天晚上九點，完全不用休息。

主管的部分：

設計部門的游姓女主管非常喜歡當其他員工的面羞辱自己的屬下，而且毫不留情，

另外她也喜歡搞一些小團體，自己不下班逼得其他屬下也不能下班。

薪資的部分：

比其他設計公司高，但是也是不夠補足那些加班的時間，用肝換來的。

非常嚴重的加班情形，也顯現出主管效率很差，

另外，樓下簽到的時間是給政府看的，被老闆規定只能寫八小時，

但實際上班工時在打卡紀錄裡面，遠遠超過八小時。

只能說是血汗工廠，最可怕的是主管。千萬不要碰到“她”。"
遊戲橘子數位科技股份有限公司,臺北市,企劃,1900-01-20,1902-01-19,,,,推,"【優於勞基法】
員工福利非常棒的公司"
皇彪企業有限公司,新北市,美編,2004-01-21,2006-01-20,大學,48,"24,000 / 月",不推,"【實際工作內容】
自家產品的Dm、包裝等相關印刷製作物設計/協助客戶訂貨/協助盤點、出貨。總結：不只設計的工作，還參雜著許多行政及打雜事項。

【薪資福利】
底薪普遍壓很低、沒有加班費、6%的勞工退休金是從自己的薪水裡扣除、請一天假一個月的薪水就扣到3-4千不等。"
澔學創客教育有限公司,臺北市,一般員工,2003-01-21,2005-01-20,大學,43,"25,000 / 月",不推,"【工作內容】
1.編寫課程教案
2 至各小學教課
3.維護社交平台專頁、官方帳號
4.美編
5.備其他老師之教具

【工時狀況】
週一至週六，上午九點上班，表定下午六點下半，但實際狀況不一定

【薪資福利】
底薪25,000，沒了，就這樣，任何交通津貼、編寫教案津貼、三節獎金、勞保、健保統統都沒有。除此之外，無論是否請假，上午未到扣薪500，下午未到扣薪800。"
澔學創客教育有限公司,臺北市,一般員工,2003-01-21,2005-01-20,大學,43,"25,000 / 月",不推,"【工作內容】
1.編寫課程教案
2 至各小學教課
3.維護社交平台專頁、官方帳號
4.美編
5.備其他老師之教具

【工時狀況】
週一至週六，上午九點上班，表定下午六點下半，但實際狀況不一定

【薪資福利】
底薪25,000，沒了，就這樣，任何交通津貼、編寫教案津貼、三節獎金、勞保、健保統統都沒有。除此之外，無論是否請假，上午未到扣薪500，下午未到扣薪800。"
澔學創客教育有限公司,臺北市,一般員工,2003-01-21,2005-01-20,大學,43,"25,000 / 月",不推,"【工作內容】
1.編寫課程教案
2 至各小學教課
3.維護社交平台專頁、官方帳號
4.美編
5.備其他老師之教具

【工時狀況】
週一至週六，上午九點上班，表定下午六點下半，但實際狀況不一定

【薪資福利】
底薪25,000，沒了，就這樣，任何交通津貼、編寫教案津貼、三節獎金、勞保、健保統統都沒有。除此之外，無論是否請假，上午未到扣薪500，下午未到扣薪800。"
財團法人國語日報社,臺北市,行政助理,1900-01-20,1902-01-19,大學,24,125 / 小時,推,"【實際工作內容：】
協助主管交辦事項，例如：發送公文、輸入資料等等。"
72640005,基隆市,店長,2012-01-21,2014-01-20,高中,50,"50,000 / 月",推,"【實際工作內容】
般人常說「台北居大不易」，首善之都雖然生活機能發達方便，但外地人往往難以忍受高房價和物價。就有網友表示，他的堂弟碩士畢業，順利找到月薪55K工作，並在公司附近、大安區租屋，一個月租金居然高達2萬5千元，讓家鄉的父母嚇呆，但他卻很淡定，認為這只是正常的價位。"
中強光電,苗栗縣,機構工程師,2004-01-21,2006-01-20,碩士,40,"55,000 / 月",推,"【不錯】
不錯"
國聯保全股份有限公司,新竹縣,行政櫃台,2001-01-21,2003-01-21,大學,8,"27,000 / 月",不推,"【請假很困難,福利沒有很好】
請假很困難,夾在公司和公私中間"
汎理大陸顧問有限公司,臺中市,法務人員,2010-01-21,2012-01-21,大學,40,"35,000 / 月",推,"【法務】
工作量不大，律師是大陸證照，需配合大陸客人來台行程"
TUTORABC,新北市,國內業務主管,2002-01-21,2004-01-21,大學,,"30,000 / 月",推,"【工作心得分享】
是個工作氣氛還不錯的公司 但是有業績壓力是一定的"
屈臣氏,高雄市,PT,1900-01-20,1902-01-19,大學,26,140 / 小時,推,"【實際工作內容】
PT工作較常規性，包含收銀結帳、上貨、整理貨架、進貨驗收、展銷及背櫃促銷，以及配班交代事項等等。


【薪資福利】
時薪是依照政府勞基法規定進行調整的，背櫃換購達到目標會有一點獎金（大約幾百，常常無法達標，而且很看門市），會要求促銷屈臣氏的保養品（每檔促銷品牌不同，當顧客喜歡別檔系列的時候會很糾結因為不在清單上，自己跟自己打架...這部分沒獎金）。

【獲得的成長】
對彩妝的認識，人際關係的培養及交流。"
UMC,臺南市,設備工程師,2001-01-21,2003-01-21,大學,60,"750,000 / 年",不推,"【爛】
爛"
55778659,臺北市,財務副理,2007-01-21,2009-01-20,大學,40,"55,000 / 月",推,"【實際工作內容】
彈性，公司制度好，且給予員工發揮的機會。"
芯鼎科技股份有限公司,新竹市,數位IC設計工程師,2004-01-21,2006-01-20,碩士,45,"65,000 / 月",推,"【Asic】
能平衡生活的公司"
正連通(正連新),桃園市,司機,2001-01-21,2003-01-21,高職,93,"45,000 / 月",不推,"【未依照勞基法走】
嚴重超時，又超載"
雅虎資訊,臺北市,資深專員,2003-01-21,2005-01-20,,40,"1,100,000 / 年",推,"【每份工作都必有辛苦】
辛苦但有收穫"
岩葉拉麵,雲林縣,外場服務生,2001-01-21,2003-01-21,大學,21,95 / 小時,不推,"【工作內容】
備料、送餐、洗碗、收桌

【薪資福利】
時薪並無遵照勞基法，且試用期不給薪水

【工時狀況】
收班最快至少要30至40分鐘，此時段不給薪水"
綠杏生技有限公司,新北市,業代,2002-01-21,2004-01-21,大學,45,"36,000 / 月",不推,"【工作內容分享】
聽了主管畫大餅，進這間公司後，才發覺公司的獎金制度非常糟糕，目標定很高就算了，你沒有達到100%，會按造你所達成的趴數來打折你的業績，最後領到的錢就不多，且公司的皇親國戚都是公司主管，你待越久，越會發現根本就一堆不用心的人在領導公司，再來很重要的一點就是，每天都要打報表，而這報表非一般公司的KEY數字跟訂單就好，而是要鉅細靡遺的詳細描述每天妳跟藥師所詳談的內容，所以每天的日報，如果你剛進去公司，你大概要花一個小時以上，才寫的完，且公司主管喜歡看好聽的話，客戶跟你反映的事實，是不能打在日報中，也就是說你的報表可能沒辦法都打真話。所以如果你是掰故事高手，那綠杏的日報應該難不倒你。 

公司後來為了規避資遣費，又立了新規定，當業務業績目標一期(2個月)達不到60%時，會重新敘薪以及試用，看到這，就會覺得很不可思議吧!。所以如果我要把某個業務弄掉，只要在那一期把業績目標條超高，我就可以名正言順不花一毛錢，把他回溯到試用期。 

老闆跟主管都有公司股份，所以在很多政策上，他們完全是以利益考量，進這間公司是不會有發展性。且又因為是小公司，所以任意妄為。不守法規。講個比較嚴重的就是，公司的產品，在藥局端，都有限制藥師只能賣一個價格，如果有違反，就會被公司處20倍罰緩，但基本上這是違反公平交易法。連這法都能違反，你就別奢望他會多重視員工了。勞基法在他眼裡，也只是參考值。 

最後一點，在綠杏當業務，要18般武藝，其中一項就是爬樓梯綁布條，也就是說你也必須是工人會綁布條，本人已經離開公司好一陣子，但是為了不要讓有人又掉進這個坑，故發這篇文，希望能幫到正在看這間公司工作的您。

"
瑞昱半導體,新竹市,實習工讀生,1900-01-20,1902-01-19,碩士,45,"30,000 / 月",推,"【利用TCL 去驗證 SDK Driver】
利用TCL 自動化的去驗證 SDK Driver"
711得富門市,高雄市,門市人員,1900-01-20,1902-01-19,大學,48,133 / 小時,不推,"【違反勞動法令】
沒勞健保、月休4天"
47513327,臺中市,店經理,2002-01-21,2004-01-21,大學,40,"40,000 / 月",推,"【工作氣氛】
工作環境/與同事相處融洽"
康代科技股份有限公司,桃園市,光學工程師,2004-01-21,2006-01-20,五專,,"70,000 / 月",推,"【本身為責任制人員 , 但從無領過加班費】
本身為責任制人員 , 但從無領過加班費"
鎰萬工業有限公司,新北市,人資經理,2001-01-21,2003-01-21,碩士,40,"60,000 / 月",推,"【人員管理/制度建立/知識管理】
人員管理/制度建立/知識管理"
盛大電梯企業股份有限公司,臺南市,行政,2002-01-21,2004-01-21,大學,,,不推,"【實際工作內容】
1.帳務
2.合約
3.雜事
4.主管的工作
5.任何老闆指派的雜事

【薪資福利】
糟糕。假象

【工時狀況】
每天加班。不加班等同壞員工

【公司管理方式】
      老闆的腦袋很有加油空間，是隻井底之蛙。不懂尊重，一個人當三四個用，外加言語霸凌人身攻擊，非常誇張，想盡辦法扣員工錢，再講大話自我催眠，30年的公司，一樣一團亂。"
金線視覺設計工作室,臺北市,平面設計╱美編人員,2005-01-21,2007-01-21,大學,40,"40,000 / 月",推,"【平面設計與印刷】
學以致用"
恆宇精密鋼模股份有限公司,新北市,MIS╱網管主管,2007-01-21,2009-01-20,,48,"43,000 / 月",不推,"【工作內容】
工作除了資訊包含人資總務

【實際工作內容】
工作除了資訊包含人資總務
壓力大工作不輕鬆"
恆宇精密鋼模股份有限公司,新北市,MIS╱網管主管,2007-01-21,2009-01-20,,48,"43,000 / 月",不推,"【工作內容】
工作除了資訊包含人資總務

【實際工作內容】
工作除了資訊包含人資總務
壓力大工作不輕鬆"
餐廳,苗栗縣,廚房助理,1900-01-20,1902-01-19,高職,32,"9,000 / 月",不推,"【實際工作內容】
這一間福利沒什麼福利有時候還會取笑學這一課怎麼還不會拿刀子然後每天罵你啊不會叫你掃地掃水溝啊反正沒有一定技術去一定很少錢然後一個月修不到五天"
KPMG,臺北市,SPECIALIST,2002-01-21,2004-01-21,大學,45,"500,000 / 年",推,"【學習資源提供/規劃】
舉辦講座 協助國外分所辦理工作坊 課程安排"
冠佑聯合有限公司,臺北市,網頁設計美編,2001-01-21,2003-01-21,大學,40,"26,000 / 月",不推,"【實際工作內容】
公司為家族企業希望打造像家的環境凹做各種事
任何主要幹部都是家中成員抑或是親信
只要應徵是美編相關性質
你會需要從剪輯影片、網站架設、商品拍攝、上產品資料、關鍵字優化、網站維護管理

【薪資福利】
底薪26000 + 搬貨(男性限定)加班費100～200不等

【工時狀況】
基本上都是正常上下班
有時會動用到辦公室人員幫忙搬貨、理貨
手頭上事情到一半就被叫去幫忙
有展覽時必須得去展場幫忙也可能會利用到假日做前置布展前作業的準備
抑或是有貨櫃要來早上6.7點得加班
協助去幫忙搬貨每小時100元但有時會有提供早餐(兩三個月一次)

【升遷制度】
基本上只有你 / 妳 贏得主要成員的信賴你就有辦法在公司繼續待下去

【公司 / 團隊文化】
同事間年齡層可能都不高，跟同事比較有話聊
較喜歡剛出社會的新鮮人(意味者offer...)

【獲得的成長】
如果你是新鮮人需要一份可以短時間學到很多東西(體力、專業技能...)"
德州儀器工業股份有限公司,新北市,製程實習生,1900-01-20,1902-01-19,碩士,40,"35,000 / 月",推,"【實際實習內容】
和朋友去的實習不同,這個實習會跟著工程師學習實際工作內容,還能參與實際的專案,非常扎實,最後專案表現好甚至有直接取得正職門票的機會!很推"
台北慈濟醫院,新北市,護理師及護士,2003-01-21,2005-01-20,大學,9,"40,000 / 月",不推,"【工作內容】
常常沒預期的加班，接著隔天早班，看準勞基法漏洞，隔11小時又能上班，超級累。"
台北慈濟醫院,新北市,護理師及護士,2003-01-21,2005-01-20,大學,9,"40,000 / 月",不推,"【工作內容】
常常沒預期的加班，接著隔天早班，看準勞基法漏洞，隔11小時又能上班，超級累。"
